FECHA;TMED;TMIN;TMAX;ACTIVA
01/01/2017;3,2;-3,8;10,2;4497
02/01/2017;2,2;-6,5;10,8;10697
03/01/2017;6,2;-3,3;15,7;10430
04/01/2017;7,8;0;15,6;10496
05/01/2017;7,4;-0,8;15,5;10292
06/01/2017;4,2;-3,5;12;4631
07/01/2017;2,4;-5,1;9,9;11182
08/01/2017;2,6;-5,1;10,2;10552
09/01/2017;5;-2,2;12,3;10283
10/01/2017;4,6;-1,6;10,7;9922
11/01/2017;7,6;2,7;12,5;9527
12/01/2017;7,6;-1;16,1;9576
13/01/2017;6;-1,3;13,2;10043
14/01/2017;2,7;-3,2;8,6;10680
15/01/2017;2,5;-1,9;6,9;3869
16/01/2017;7,5;1,4;13,6;10484
17/01/2017;2,4;-3,6;8,5;9840
18/01/2017;0,7;-5,5;6,9;10826
24/01/2017;6,9;1,3;12,5;10268
25/01/2017;3,4;-4,6;11,3;9700
26/01/2017;2,8;-3,4;9,1;10154
27/01/2017;5,8;1,1;10,4;10078
28/01/2017;6;1,6;10,5;10689
29/01/2017;4,8;-1,5;11,1;3582
30/01/2017;8,4;2,9;13,8;9898
31/01/2017;9,2;1,2;17,1;9758
01/02/2017;8,4;0,7;16,1;9865
02/02/2017;7,8;4,7;10,9;10052
03/02/2017;8,4;4,5;12,3;10113
04/02/2017;11,7;8,9;14,5;10298
05/02/2017;7;3,1;10,9;3814
06/02/2017;8,8;3,8;13,7;10475
07/02/2017;10;5,8;14,3;9829
08/02/2017;5,8;1,3;10,4;9990
09/02/2017;5,4;-1,9;12,6;9985
10/02/2017;5,2;-1,5;12;10290
11/02/2017;6,8;4,7;8,8;10392
12/02/2017;9,8;6,9;12,8;3758
13/02/2017;7,9;3,3;12,5;9892
14/02/2017;8,6;1,5;15,6;10200
15/02/2017;6,8;0,2;13,4;9989
16/02/2017;6,9;2,2;11,6;10010
17/02/2017;8,2;1,8;14,6;10337
18/02/2017;7,2;-1,8;16,3;10728
19/02/2017;7,3;2,2;12,4;4000
20/02/2017;6,6;0,2;13,1;10165
21/02/2017;7,4;-1,9;16,8;10379
22/02/2017;9,4;1,3;17,5;10120
23/02/2017;12;6,9;17,1;10250
24/02/2017;10,8;5,7;16;10581
25/02/2017;7,4;-0,7;15,4;10893
26/02/2017;8,6;-1,1;18,3;3997
27/02/2017;9,2;4,7;13,8;9955
28/02/2017;9,3;5,4;13,2;9651
01/03/2017;9,6;2,8;16,5;9641
02/03/2017;10,2;1,1;19,2;9437
03/03/2017;9;2,1;15,8;9791
04/03/2017;4,1;0,8;7,4;10252
05/03/2017;5,5;0,7;10,3;3595
06/03/2017;13,8;9,4;18,1;9990
07/03/2017;13,4;6,2;20,6;9300
08/03/2017;16,1;7;25,2;9364
09/03/2017;15,2;3,6;26,9;9578
10/03/2017;16,2;4,2;28,1;9493
11/03/2017;15,4;5,1;25,8;9712
12/03/2017;12,4;2,6;22,1;4386
13/03/2017;5,8;3,1;8,5;9986
14/03/2017;10;5,5;14,6;9528
15/03/2017;10,4;5,8;15;9231
16/03/2017;10,2;3,1;17,2;9072
17/03/2017;9,1;0,8;17,4;9499
18/03/2017;10,7;-1,2;22,6;9537
19/03/2017;12,4;1,6;23,2;4051
20/03/2017;14;5,2;22,8;9051
21/03/2017;11,5;5,5;17,5;9052
22/03/2017;9,3;4,2;14,4;9052
23/03/2017;5,6;1;10,2;8924
24/03/2017;5,6;-1,8;13,1;9338
25/03/2017;6,6;-0,1;13,2;9446
26/03/2017;8;-0,5;16,5;3566
27/03/2017;9,9;5;14,8;9048
28/03/2017;10,6;1,6;19,6;9026
29/03/2017;12,1;2,6;21,6;9018
30/03/2017;12,6;3,6;21,5;8850
31/03/2017;14,4;6,4;22,3;8925
01/04/2017;11,6;5,6;17,6;9502
02/04/2017;11;3;19;3905
03/04/2017;11,2;2,3;20,1;8809
04/04/2017;11,6;1,4;21,8;8677
05/04/2017;11,3;5,5;17,1;7552
06/04/2017;13;4;21,9;7849
07/04/2017;11,5;3,4;19,6;7889
08/04/2017;11,1;0,9;21,3;8086
09/04/2017;11;1,2;20,9;5544
10/04/2017;13;2,7;23,4;7721
11/04/2017;15;3,7;26,4;8079
12/04/2017;15,8;4,8;26,9;7847
13/04/2017;16,8;6;27,6;8791
14/04/2017;17,6;7,9;27,4;4381
15/04/2017;17,7;8,2;27,2;8905
16/04/2017;16;6,3;25,6;4241
17/04/2017;17,3;8,1;26,5;4179
18/04/2017;16,8;8,4;25,1;7856
19/04/2017;9,6;7,6;11,6;7936
20/04/2017;8,6;5,3;12;7780
21/04/2017;7,6;1,2;14,1;7660
22/04/2017;9,6;0,6;18,6;7920
23/04/2017;12,6;2,7;22,5;3963
24/04/2017;14,5;4;25;7755
25/04/2017;15,6;7,4;23,7;7812
26/04/2017;14,2;9,5;18,8;7961
27/04/2017;7,6;4,8;10,4;8403
28/04/2017;7,6;4;11,3;7995
29/04/2017;8,2;6,7;9,6;8382
30/04/2017;12,6;8,6;16,5;8079
01/05/2017;11,4;3,3;19,6;4082
02/05/2017;13,2;3,6;22,7;7571
03/05/2017;15,6;5,9;25,3;7765
04/05/2017;16,8;6,9;26,7;7943
